"","Bediensteten","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Zollhafen","Gesamtergebnis"
"15:30","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"15:45","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"16:00","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"16:15","491","320","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.413"
"16:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"16:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"17:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"17:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"17:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"17:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"18:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"18:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"18:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"18:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"19:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"19:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"19:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"19:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"20:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"20:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
